Harvard_L01_S01_0|The birch canoe slid on the smooth planks.
Harvard_L01_S02_0|Glue the sheet to the dark blue background.
Harvard_L01_S03_0|It's easy to tell the depth of a well.
Harvard_L01_S04_0|These days a chicken leg is a rare dish.
Harvard_L01_S05_0|Rice is often served in round bowls.
Harvard_L01_S06_0|The juice of lemons makes fine punch.
Harvard_L01_S07_0|The box was thrown beside the parked truck.
Harvard_L01_S08_0|The hogs were fed chopped corn and garbage.
Harvard_L01_S09_0|Four hours of steady work faced us.
Harvard_L01_S10_0|Large size in stockings is hard to sell.
Harvard_L02_S01_0|The boy was there when the sun rose.
Harvard_L02_S02_0|A rod is used to catch pink salmon.
Harvard_L02_S03_0|The source of the huge river is the clear spring.
Harvard_L02_S04_0|Kick the ball straight and follow through.
Harvard_L02_S05_0|Help the woman get back to her feet.
Harvard_L02_S06_0|A pot of tea helps to pass the evening.
Harvard_L02_S07_0|Smoky fires lack flame and heat.
Harvard_L02_S08_0|The soft cushion broke the man's fall.
Harvard_L02_S09_0|The salt breeze came across from the sea.
Harvard_L02_S10_0|The girl at the booth sold fifty bonds.
Harvard_L03_S01_0|The small pup gnawed a hole in the sock.
Harvard_L03_S02_0|The fish twisted and turned on the bent hook.
Harvard_L03_S03_0|Press the pants and sew a button on the vest.
Harvard_L03_S04_0|The swan dive was far short of perfect.
Harvard_L03_S05_0|The beauty of the view stunned the young boy.
Harvard_L03_S06_0|Two blue fish swam in the tank.
Harvard_L03_S07_0|Her purse was full of useless trash.
Harvard_L03_S08_0|The colt reared and threw the tall rider.
Harvard_L03_S09_0|It snowed, rained, and hailed the same morning.
Harvard_L03_S10_0|Read verse out loud for pleasure.
Harvard_L04_S01_0|Hoist the load to your left shoulder.
Harvard_L04_S02_0|Take the winding path to reach the lake.
Harvard_L04_S03_0|Note closely the size of the gas tank.
Harvard_L04_S04_0|Wipe the grease off his dirty face.
Harvard_L04_S05_0|Mend the coat before you go out.
